task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
225,POm,47,BC,7,-0.138482601,0.807710552,131.0572702,FALSE
172,BC,8,POm,48,0.002702473,0.559333016,131.0432678,FALSE
297,POm,53,BC,7,0.111383642,0.609410252,129.9338987,FALSE
138,BC,6,POm,48,-0.088607504,0.555416507,129.6781582,FALSE
43,BC,10,POm,55,-0.047265074,0.490579811,129.4350262,FALSE
93,BC,3,POm,54,0.135893773,0.463413826,128.9140626,FALSE
101,BC,3,POm,62,-0.399373728,0.86369786,128.3405291,FALSE
119,BC,5,POm,46,0.080733288,0.555868487,125.4690857,FALSE
9,BC,0,POm,55,-0.250420328,0.584545476,124.2041896,FALSE
22,BC,1,POm,51,1.701194031,2.111493881,122.5630827,FALSE
320,POm,55,BC,6,-0.164168522,0.701793134,121.9254609,FALSE
183,BC,8,POm,59,-0.047399476,0.425082311,120.6616614,FALSE
186,BC,8,POm,62,0.037926246,0.507133288,120.1651884,FALSE
178,BC,8,POm,54,0.011445629,0.349454832,119.5010044,FALSE
69,BC,12,POm,47,-0.035953862,0.449172725,119.4518937,FALSE
31,BC,1,POm,60,-0.513969974,1.316814497,118.6123446,FALSE
82,BC,12,POm,60,0.416892378,0.717883808,116.6837982,FALSE
317,POm,55,BC,3,-0.059577602,0.163309942,115.7550913,FALSE
200,BC,9,POm,59,-0.115850181,0.469969116,115.512073,FALSE
70,BC,12,POm,48,0.075811382,0.448664172,115.3337435,FALSE
285,POm,52,BC,7,0.212946038,0.80392791,115.3039042,FALSE
116,BC,4,POm,60,0.261477305,0.850613086,113.7977053,FALSE
109,BC,4,POm,53,-0.376922467,0.704196606,113.5919265,FALSE
12,BC,0,POm,58,0.006211671,0.260815029,113.1072456,FALSE
390,POm,61,BC,4,0.123353871,0.516073169,112.7906917,FALSE
149,BC,6,POm,59,-0.160241174,0.511560739,112.764768,FALSE
97,BC,3,POm,58,0.100429156,0.466664467,112.3345701,FALSE
281,POm,52,BC,3,-0.060256511,0.123141367,112.2428579,FALSE
245,POm,49,BC,3,-0.212236611,0.285201784,111.9589572,FALSE
156,BC,7,POm,49,0.016421732,0.217589592,110.9637093,FALSE
68,BC,12,POm,46,0.210495882,0.769285841,110.8348573,FALSE
127,BC,5,POm,54,0.085673994,0.328863432,110.6086783,FALSE
53,BC,11,POm,48,0.684542091,0.737437732,110.5903613,FALSE
111,BC,4,POm,55,-0.027142965,0.497402228,109.6308217,FALSE
95,BC,3,POm,56,0.206964766,0.574883672,109.6251383,FALSE
118,BC,4,POm,62,-0.3583834,0.754713195,109.3159089,FALSE
115,BC,4,POm,59,-0.232571108,0.518585378,109.2993166,FALSE
24,BC,1,POm,53,1.073217511,1.697714804,109.2226795,FALSE
78,BC,12,POm,56,0.012254607,0.2475856,108.7146255,FALSE
121,BC,5,POm,48,0.146311935,0.553877973,108.5896974,FALSE
135,BC,5,POm,62,-0.023391246,0.452152139,108.3243157,FALSE
8,BC,0,POm,54,0.048212383,0.329406497,107.9567409,FALSE
17,BC,1,POm,46,0.951574129,1.818449863,107.8096961,FALSE
187,BC,9,POm,46,0.749590898,1.035974183,107.154821,FALSE
114,BC,4,POm,58,-0.002335379,0.246445888,106.8550797,FALSE
14,BC,0,POm,60,0.299389104,0.674742289,105.7868131,FALSE
117,BC,4,POm,61,-0.113406063,0.395666993,103.3792584,FALSE
66,BC,11,POm,61,-1.11629373,0.833777103,102.9887421,0
76,BC,12,POm,54,-0.027752201,0.222781877,102.0700948,FALSE
